,filename,blocks,lines
205,/home/dbsm-user/data/Skripte/data/Börsenblatt/Einzelseiten/39946221X-19251228-00019.xml,80,242
206,/home/dbsm-user/data/Skripte/data/Börsenblatt/Einzelseiten/39946221X-19251228-00020.xml,4,29
207,/home/dbsm-user/data/Skripte/data/Börsenblatt/Einzelseiten/39946221X-19251228-00021.xml,17,59
208,/home/dbsm-user/data/Skripte/data/Börsenblatt/Einzelseiten/39946221X-19251217-00036.xml,14,25
209,/home/dbsm-user/data/Skripte/data/Börsenblatt/Einzelseiten/39946221X-19251217-00037.xml,10,62
210,/home/dbsm-user/data/Skripte/data/Börsenblatt/Einzelseiten/39946221X-19251217-00038.xml,5,40
211,/home/dbsm-user/data/Skripte/data/Börsenblatt/Einzelseiten/39946221X-19251217-00039.xml,4,32
212,/home/dbsm-user/data/Skripte/data/Börsenblatt/Einzelseiten/39946221X-19251217-00040.xml,5,30
213,/home/dbsm-user/data/Skripte/data/Börsenblatt/Einzelseiten/39946221X-19251217-00041.xml,10,60
214,/home/dbsm-user/data/Skripte/data/Börsenblatt/Einzelseiten/39946221X-19251217-00042.xml,11,33
215,/home/dbsm-user/data/Skripte/data/Börsenblatt/Einzelseiten/39946221X-19251217-00043.xml,20,41
216,/home/dbsm-user/data/Skripte/data/Börsenblatt/Einzelseiten/39946221X-19251217-00044.xml,5,27
217,/home/dbsm-user/data/Skripte/data/Börsenblatt/Einzelseiten/39946221X-19251217-00045.xml,7,33
218,/home/dbsm-user/data/Skripte/data/Börsenblatt/Einzelseiten/39946221X-19251217-00046.xml,18,54
219,/home/dbsm-user/data/Skripte/data/Börsenblatt/Einzelseiten/39946221X-19251217-00047.xml,10,108
220,/home/dbsm-user/data/Skripte/data/Börsenblatt/Einzelseiten/39946221X-19251217-00048.xml,15,118
221,/home/dbsm-user/data/Skripte/data/Börsenblatt/Einzelseiten/39946221X-19251217-00049.xml,7,154
222,/home/dbsm-user/data/Skripte/data/Börsenblatt/Einzelseiten/39946221X-19251217-00050.xml,7,165
223,/home/dbsm-user/data/Skripte/data/Börsenblatt/Einzelseiten/39946221X-19251217-00051.xml,7,112
224,/home/dbsm-user/data/Skripte/data/Börsenblatt/Einzelseiten/39946221X-19251217-00052.xml,6,140
225,/home/dbsm-user/data/Skripte/data/Börsenblatt/Einzelseiten/39946221X-19251217-00053.xml,7,104
226,/home/dbsm-user/data/Skripte/data/Börsenblatt/Einzelseiten/39946221X-19251217-00054.xml,7,160
227,/home/dbsm-user/data/Skripte/data/Börsenblatt/Einzelseiten/39946221X-19251217-00055.xml,8,109
228,/home/dbsm-user/data/Skripte/data/Börsenblatt/Einzelseiten/39946221X-19251217-00056.xml,21,152
229,/home/dbsm-user/data/Skripte/data/Börsenblatt/Einzelseiten/39946221X-19251217-00057.xml,17,76
230,/home/dbsm-user/data/Skripte/data/Börsenblatt/Einzelseiten/39946221X-19251217-00058.xml,19,303
231,/home/dbsm-user/data/Skripte/data/Börsenblatt/Einzelseiten/39946221X-19251217-00059.xml,11,152
232,/home/dbsm-user/data/Skripte/data/Börsenblatt/Einzelseiten/39946221X-19251217-00060.xml,8,150
233,/home/dbsm-user/data/Skripte/data/Börsenblatt/Einzelseiten/39946221X-19251217-00061.xml,9,152
234,/home/dbsm-user/data/Skripte/data/Börsenblatt/Einzelseiten/39946221X-19251217-00062.xml,7,158
235,/home/dbsm-user/data/Skripte/data/Börsenblatt/Einzelseiten/39946221X-19251217-00063.xml,40,149
236,/home/dbsm-user/data/Skripte/data/Börsenblatt/Einzelseiten/39946221X-19251217-00064.xml,8,146
237,/home/dbsm-user/data/Skripte/data/Börsenblatt/Einzelseiten/39946221X-19251218-00001.xml,12,96
238,/home/dbsm-user/data/Skripte/data/Börsenblatt/Einzelseiten/39946221X-19251218-00002.xml,4,136
239,/home/dbsm-user/data/Skripte/data/Börsenblatt/Einzelseiten/39946221X-19251218-00003.xml,7,145
240,/home/dbsm-user/data/Skripte/data/Börsenblatt/Einzelseiten/39946221X-19251218-00004.xml,6,135
241,/home/dbsm-user/data/Skripte/data/Börsenblatt/Einzelseiten/39946221X-19251218-00005.xml,5,144
242,/home/dbsm-user/data/Skripte/data/Börsenblatt/Einzelseiten/39946221X-19251218-00006.xml,14,166
243,/home/dbsm-user/data/Skripte/data/Börsenblatt/Einzelseiten/39946221X-19251218-00007.xml,10,157
244,/home/dbsm-user/data/Skripte/data/Börsenblatt/Einzelseiten/39946221X-19251218-00008.xml,18,147
245,/home/dbsm-user/data/Skripte/data/Börsenblatt/Einzelseiten/39946221X-19251218-00009.xml,9,61
246,/home/dbsm-user/data/Skripte/data/Börsenblatt/Einzelseiten/39946221X-19251218-00010.xml,13,77
247,/home/dbsm-user/data/Skripte/data/Börsenblatt/Einzelseiten/39946221X-19251218-00011.xml,4,23
